"_created_at",_id,_p_user,_updated_at,canal,count
2017-08-17T15:05:26.590Z,JaxAUZFMYb,_User$UQHNOc3uxv,2017-08-17T15:05:26.590Z,kU7ymJ2JBd,0
2017-08-17T17:24:31.831Z,gDHdQU1CCo,_User$LuqEQ28eX3,2017-10-13T14:46:11.221Z,V1u8fT5kGg,0
2017-08-18T15:35:39.200Z,q51pVqtsoQ,_User$AtdsXhiYTL,2017-10-10T20:25:03.706Z,xg3FBSV7vj,0
2017-08-18T15:35:39.484Z,B0bypKbDmL,_User$kkAG2ZvROB,2017-10-10T18:55:52.833Z,xg3FBSV7vj,3
2017-08-18T19:41:43.285Z,s9WEnW7iLy,_User$kkAG2ZvROB,2017-10-10T18:55:52.696Z,xg3FBSV7vj,3
2017-08-18T19:41:43.285Z,k7XwgtpCeJ,_User$AtdsXhiYTL,2017-10-10T18:55:52.552Z,xg3FBSV7vj,3
2017-08-18T21:29:01.998Z,hvWB6fpXlq,_User$Dlj93hgYav,2017-09-11T18:47:34.271Z,yVXRjvoHcf,1
2017-08-18T21:29:02.269Z,DsAlZARa8y,_User$DCnwMVaxQl,2017-09-11T18:47:33.699Z,yVXRjvoHcf,1
2017-08-21T12:48:13.277Z,pQTZfsFWU6,_User$Dpc0CGvnea,2017-08-21T12:48:13.277Z,OHFUjIoD0H,0
2017-08-21T12:48:13.277Z,mAq3zE5XF7,_User$uzVZAl93Dw,2017-08-21T12:48:13.277Z,OHFUjIoD0H,0
2017-08-21T20:04:17.047Z,Ch6q01rGqn,_User$GKsI6tQqNZ,2017-09-13T16:25:39.409Z,yi1rSuMnT2,1
2017-08-21T20:04:17.061Z,UG5keHyMB9,_User$wwRxrxOBHl,2017-09-13T16:25:40.144Z,yi1rSuMnT2,1
2017-08-21T20:05:12.335Z,WZbj9nG9bP,_User$GKsI6tQqNZ,2017-09-13T16:25:39.413Z,yi1rSuMnT2,1
2017-08-21T20:05:12.674Z,D8HHQnZMXY,_User$wwRxrxOBHl,2017-09-13T16:25:40.199Z,yi1rSuMnT2,1
2017-08-21T20:19:53.400Z,ZdEPDTLTQ3,_User$C3CN4Wy1sa,2017-09-21T00:52:22.096Z,EEsh1Yh4qo,1
2017-08-21T20:19:53.402Z,5KeNGJcZtd,_User$NsIYkMtI2J,2017-09-21T00:52:22.520Z,EEsh1Yh4qo,1
2017-08-21T20:20:14.429Z,fa8sur5Gxk,_User$j0CCKrcw4O,2017-09-22T00:03:52.324Z,piDcVtIDDq,3
2017-08-21T20:20:14.433Z,QDDFsiVdC5,_User$363GIVhbZi,2017-09-22T00:03:51.779Z,piDcVtIDDq,3
2017-08-21T20:20:22.491Z,mg5CxEm9DM,_User$j0CCKrcw4O,2017-09-22T00:03:52.336Z,piDcVtIDDq,3
2017-08-21T20:20:22.495Z,bKmSXOIfQL,_User$363GIVhbZi,2017-09-22T00:03:51.905Z,piDcVtIDDq,3
2017-08-21T20:20:50.462Z,CpZNua2zha,_User$tJE8rHfy8C,2017-08-30T14:38:09.008Z,IPOzZOaaiW,1
2017-08-21T20:20:50.468Z,mKTBrY03tB,_User$qjlIaURJHO,2017-08-30T14:38:08.400Z,IPOzZOaaiW,1
2017-08-21T20:21:07.280Z,SA47H6Hcme,_User$HOEAJReRGI,2017-10-10T15:02:13.270Z,QwxzGpefjT,4
2017-08-21T20:21:07.292Z,UKubPEdyrs,_User$lUx8IVE0ew,2017-10-10T15:02:13.592Z,QwxzGpefjT,4
2017-08-21T20:21:27.750Z,Uk0FXHaJ1S,_User$qbloFoiM3z,2017-09-21T00:52:58.730Z,6TP5qV0k3Y,1
2017-08-21T20:21:27.760Z,Gn4mtaXUTs,_User$P85eEH5ldS,2017-09-21T00:52:58.304Z,6TP5qV0k3Y,1
2017-08-21T20:23:24.479Z,RD7oJWIx2f,_User$mSUYzXIc4J,2017-08-21T20:23:24.479Z,4shffgDE3B,0
2017-08-21T20:23:24.479Z,63eyXupkt6,_User$2FxVIeuF8V,2017-08-21T20:23:24.479Z,4shffgDE3B,0
2017-08-21T20:23:42.425Z,cmKkdfjCyY,_User$2FxVIeuF8V,2017-08-21T20:23:42.425Z,4shffgDE3B,0
2017-08-21T20:23:42.427Z,StzdepyvjV,_User$mSUYzXIc4J,2017-08-21T20:23:42.427Z,4shffgDE3B,0
2017-08-21T20:24:01.869Z,p2IqQgex5R,_User$WEtLzwSrLz,2017-09-18T18:43:45.795Z,JNAKDha5lZ,3
2017-08-21T20:24:01.881Z,MgWSXI0nkf,_User$IYvwwSvJw0,2017-09-18T18:43:44.654Z,JNAKDha5lZ,3
2017-08-21T20:26:31.848Z,fERt3pkHL6,_User$GKsI6tQqNZ,2017-09-13T16:25:39.432Z,yi1rSuMnT2,1
2017-08-21T20:26:32.005Z,W9b9I86KUe,_User$wwRxrxOBHl,2017-09-13T16:25:40.364Z,yi1rSuMnT2,1
2017-08-21T20:29:18.006Z,g3MDNDnAhq,_User$wwRxrxOBHl,2017-09-13T16:25:40.364Z,yi1rSuMnT2,1
2017-08-21T20:29:18.018Z,x3EdS5eTar,_User$GKsI6tQqNZ,2017-09-13T16:25:39.744Z,yi1rSuMnT2,1
2017-08-21T20:29:37.890Z,3CN4SRCadI,_User$9AB2uUJyTi,2017-09-18T18:43:57.374Z,ulSbV69DPV,1
2017-08-21T20:29:37.891Z,AavvNFHF7a,_User$Knd6LTha8i,2017-09-18T18:43:57.717Z,ulSbV69DPV,1
2017-08-21T20:30:06.204Z,cmYrkuMYvU,_User$L0ma1OeqS6,2017-09-18T18:44:09.662Z,riKYKmDsHV,7
2017-08-21T20:30:06.215Z,DceRMON8Ui,_User$kLzw14IaRN,2017-09-18T18:44:10.219Z,riKYKmDsHV,7
2017-08-21T20:30:26.431Z,DazpRl2Pw6,_User$q9x6tBwagB,2017-10-09T18:04:16.984Z,v4EQ4uUMkt,6
2017-08-21T20:30:26.443Z,0uoRN9Dse7,_User$7T6FABHcFI,2017-10-09T18:04:16.649Z,v4EQ4uUMkt,6
2017-08-21T20:31:24.719Z,bnpU6NoSG4,_User$s7yo7sJCrh,2017-10-13T14:45:50.950Z,86UjLHUTEw,9
2017-08-21T20:31:24.731Z,ST2Xxi8dJA,_User$YgHK4K0Nwp,2017-10-13T14:45:50.457Z,86UjLHUTEw,9
2017-08-21T20:32:03.687Z,9YIaDPPqYK,_User$sGQI2EzzDS,2017-08-30T14:39:40.441Z,Zv1VGJcckw,1
2017-08-21T20:32:03.690Z,h4XMuCERZb,_User$tJKZxISKQ9,2017-08-30T14:39:41.194Z,Zv1VGJcckw,1
2017-08-21T20:32:18.323Z,YyAgy1pocO,_User$sUP48wJIlZ,2017-08-21T20:32:18.323Z,PAYy5MZTZj,0
2017-08-21T20:32:18.324Z,BpTlkVYkwm,_User$PhzLgBcyFU,2017-08-21T20:32:18.324Z,PAYy5MZTZj,0
2017-08-21T20:32:39.415Z,3rvkml7vsA,_User$r2GTejMOwm,2017-09-06T18:57:51.487Z,Jz9dWmwPJS,2
2017-08-21T20:32:39.416Z,8dqV4wsOB5,_User$ZSs0RkCGod,2017-09-06T18:57:51.235Z,Jz9dWmwPJS,2
2017-08-21T20:35:07.070Z,3oTVSwrgND,_User$F0f8Dh73dk,2017-09-18T18:45:40.121Z,rVqRZGtaU2,2
2017-08-21T20:35:07.270Z,H1ifRP6tEE,_User$LCiS0wbYIv,2017-09-18T18:45:39.684Z,rVqRZGtaU2,2
2017-08-21T20:35:35.653Z,SMSJiYB7T1,_User$BziL3ERseK,2017-09-27T20:58:15.087Z,BM662Lff8O,12
2017-08-21T20:35:35.656Z,oprhUGZwyc,_User$g14DPhA3XT,2017-09-27T20:58:15.557Z,BM662Lff8O,12
2017-08-21T20:36:20.826Z,azGV7u6ySm,_User$tZG5NZVkwm,2017-09-26T20:19:36.877Z,Oq9l28ixEx,3
2017-08-21T20:36:20.827Z,aa2SBaXqEI,_User$GH8BiaCPXg,2017-09-26T20:19:36.448Z,Oq9l28ixEx,3
2017-08-21T20:37:09.441Z,hocNSrCTnD,_User$tZG5NZVkwm,2017-09-26T20:19:36.948Z,Oq9l28ixEx,3
2017-08-21T20:37:09.633Z,DgHfS50UNW,_User$GH8BiaCPXg,2017-09-26T20:19:36.486Z,Oq9l28ixEx,3
2017-08-21T20:37:45.839Z,A0FvlBjw3I,_User$rJ0wZ9nYI0,2017-09-18T18:46:09.359Z,XguNr2IdSH,1
2017-08-21T20:37:45.877Z,9kfielZDi8,_User$Y8MN8dl6vQ,2017-09-18T18:46:09.163Z,XguNr2IdSH,1
2017-08-21T20:38:12.087Z,R7OGIsycLk,_User$ejNzOOZXM5,2017-08-21T20:38:12.087Z,LcglnKS00V,0
2017-08-21T20:38:12.099Z,BYuqh3bKmW,_User$0SqeiPMEII,2017-08-21T20:38:12.099Z,LcglnKS00V,0
2017-08-21T20:38:25.425Z,KN8ws4Ls94,_User$cBB5QuSCOo,2017-10-09T18:06:13.223Z,UDnx4E9Ycr,2
2017-08-21T20:38:25.430Z,478x8uNMP9,_User$eDtsWzIrZu,2017-10-09T18:06:13.596Z,UDnx4E9Ycr,2
2017-08-21T20:40:43.119Z,yZLpCw1jeX,_User$RExPlFXVOl,2017-09-05T15:05:09.056Z,CvcLOjsCZz,3
2017-08-21T20:40:43.158Z,AR3Lkv3aZi,_User$ElaXRrmaFd,2017-09-05T15:05:08.354Z,CvcLOjsCZz,3
2017-08-21T20:40:45.694Z,XHDXPTDwS0,_User$ElaXRrmaFd,2017-09-05T15:05:08.219Z,CvcLOjsCZz,3
2017-08-21T20:40:45.695Z,7IhHeMIZt1,_User$RExPlFXVOl,2017-09-05T15:05:09.147Z,CvcLOjsCZz,3
2017-08-21T20:41:09.002Z,IEuOKLrY2u,_User$DCnwMVaxQl,2017-09-11T18:47:33.790Z,yVXRjvoHcf,1
2017-08-21T20:41:09.003Z,yGCSwBclpq,_User$Dlj93hgYav,2017-09-11T18:47:34.305Z,yVXRjvoHcf,1
2017-08-21T20:42:33.167Z,oH074A0QnL,_User$Dlj93hgYav,2017-09-11T18:47:34.332Z,yVXRjvoHcf,1
2017-08-21T20:42:33.429Z,YQiWoXcyvq,_User$DCnwMVaxQl,2017-09-11T18:47:33.728Z,yVXRjvoHcf,1
2017-08-21T20:42:56.012Z,oNdkoguO9p,_User$cjGoSYgXdh,2017-10-16T17:31:40.918Z,9Swt2WQX7o,6
2017-08-21T20:42:56.036Z,A1xuzaHsYX,_User$UgrR6B8UDl,2017-10-16T17:31:40.407Z,9Swt2WQX7o,6
2017-08-21T20:43:18.256Z,n5bblPpDzX,_User$AkGuknCUfV,2017-10-02T20:16:27.381Z,wn64L9h7PQ,6
2017-08-21T20:43:18.271Z,eIcHHqD3sC,_User$iWkUvaUYHG,2017-10-02T20:16:27.884Z,wn64L9h7PQ,6
2017-08-21T20:43:40.468Z,exIHdBNI8x,_User$2rQxDRLKg1,2017-08-30T14:35:53.746Z,nAPtL7RHPF,1
2017-08-21T20:43:40.484Z,T90l6y8rvp,_User$dlLWfABFt5,2017-08-30T14:35:54.599Z,nAPtL7RHPF,1
2017-08-21T20:44:48.586Z,P6ylXSET3a,_User$I9PHQW0IOD,2017-09-18T18:47:17.750Z,BpL5h3H2Q7,4
2017-08-21T20:44:48.613Z,5D2WCW8pUz,_User$CVY7ZABNHM,2017-09-18T18:47:17.240Z,BpL5h3H2Q7,4
2017-08-21T20:45:12.922Z,QF2GlnFkKS,_User$qGIGiJcwTf,2017-10-06T13:40:09.520Z,rLGhynKCFR,4
2017-08-21T20:45:12.936Z,wurG56yxNh,_User$bqTcpFc8S9,2017-10-06T13:40:08.851Z,rLGhynKCFR,4
2017-08-21T20:45:27.585Z,aIlAt02nh8,_User$BuBx2PNe8c,2017-09-18T18:47:31.922Z,EAoK88E9U0,6
2017-08-21T20:45:27.587Z,lkw53xu8hE,_User$xpGwIRCwR1,2017-09-18T18:47:32.337Z,EAoK88E9U0,6
2017-08-21T20:45:55.297Z,XqHtMZY8Sh,_User$QhRMzvrpxt,2017-10-09T17:26:09.102Z,oddlhBQtep,16
2017-08-21T20:45:55.300Z,hXio8agOeq,_User$rdJGvvi3rf,2017-10-09T17:26:09.749Z,oddlhBQtep,16
2017-08-21T21:53:30.772Z,uQAvgogFoG,_User$SY3HRsMnQR,2017-08-21T21:53:30.772Z,QJSzLa2Id2,0
2017-08-21T21:53:30.785Z,0BTEZ2QXAt,_User$GsZidUkVtn,2017-08-21T21:53:30.785Z,QJSzLa2Id2,0
2017-08-21T21:53:30.897Z,ogeKpnkdtJ,_User$GsZidUkVtn,2017-08-21T21:53:30.897Z,QJSzLa2Id2,0
2017-08-21T21:53:30.902Z,x5gnWcegPB,_User$SY3HRsMnQR,2017-08-21T21:53:30.902Z,QJSzLa2Id2,0
2017-08-21T21:53:33.427Z,RKWaRGBPuR,_User$GsZidUkVtn,2017-08-21T21:53:33.427Z,QJSzLa2Id2,0
2017-08-21T21:53:33.437Z,rIb9yxmFDW,_User$SY3HRsMnQR,2017-08-21T21:53:33.437Z,QJSzLa2Id2,0
2017-08-22T16:24:03.980Z,763E2owgFg,_User$Dlj93hgYav,2017-09-11T18:47:34.409Z,yVXRjvoHcf,1
2017-08-22T16:24:03.981Z,yKs5F8p4Pt,_User$DCnwMVaxQl,2017-09-11T18:47:33.826Z,yVXRjvoHcf,1
2017-08-22T18:11:07.964Z,3tEMfIeXaf,_User$LuqEQ28eX3,2017-10-13T14:27:56.861Z,V1u8fT5kGg,8
2017-08-22T18:11:08.899Z,h9qURCODGK,_User$LuqEQ28eX3,2017-10-13T14:27:56.875Z,V1u8fT5kGg,8
2017-08-22T18:11:32.503Z,ZOJ8udawqL,_User$LuqEQ28eX3,2017-10-13T14:27:56.860Z,V1u8fT5kGg,8
2017-08-22T20:36:40.148Z,TP64HHtABq,_User$qjlIaURJHO,2017-08-30T14:38:08.534Z,IPOzZOaaiW,1
2017-08-22T20:36:40.166Z,VnHmJZr227,_User$tJE8rHfy8C,2017-08-30T14:38:09.024Z,IPOzZOaaiW,1
2017-08-22T20:38:03.559Z,u3HSHTt2e6,_User$tJE8rHfy8C,2017-08-30T14:38:09.038Z,IPOzZOaaiW,1
2017-08-22T20:38:03.711Z,6b0o9kQYCg,_User$qjlIaURJHO,2017-08-30T14:38:08.517Z,IPOzZOaaiW,1
2017-08-22T20:43:11.544Z,kQ5BD3gBKV,_User$tJE8rHfy8C,2017-08-30T14:38:09.142Z,IPOzZOaaiW,1
2017-08-22T20:43:11.708Z,CYk1z9NlwT,_User$qjlIaURJHO,2017-08-30T14:38:08.537Z,IPOzZOaaiW,1
2017-08-24T15:04:47.597Z,dQ2HxEcJFL,_User$gJxyqsWxvZ,2017-08-24T15:04:47.597Z,ZBCX6zNraw,0
2017-08-24T15:04:47.608Z,7SYa6EScsM,_User$vU3S0Jptpt,2017-08-24T15:04:47.608Z,ZBCX6zNraw,0
2017-08-24T15:04:56.652Z,JfXCA4uTIm,_User$vU3S0Jptpt,2017-08-24T15:04:56.652Z,ZBCX6zNraw,0
2017-08-24T15:04:56.656Z,MhzisLYAIp,_User$gJxyqsWxvZ,2017-08-24T15:04:56.656Z,ZBCX6zNraw,0
